# Gaia_G_Mag LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity a0
-52.9409425589 3.97777045472 1.20973692653 -0.0348387779672 -0.633519715958 -0.947507358042 -0.8827292458 4000.0 4.0 -0 0.7
-52.8173963304 4.01596272314 1.22650327635 -0.0309205740995 -0.637820825364 -0.956784369204 -0.894958347929 4000.0 4.0 -0 0.8
-52.6939186828 4.05415547498 1.24331274987 -0.0269428017523 -0.642057048355 -0.965994254259 -0.907119559426 4000.0 4.0 -0 0.9
-53.8539358155 3.51900750703 1.05930334887 -0.0919966477655 -0.582021496533 -0.830504677098 -0.739335365816 4000.0 4.0 -0.5 0.0
-53.6054463191 3.59589871125 1.09172657024 -0.0855016153124 -0.591851259219 -0.850433018623 -0.765179195204 4000.0 4.0 -0.5 0.2
-53.4813097349 3.63436677729 1.10800800864 -0.0821595853913 -0.596663638885 -0.860291218105 -0.777994028155 4000.0 4.0 -0.5 0.3
-53.3572445822 3.67284792546 1.1243354121 -0.0787552134258 -0.601408356087 -0.870079448394 -0.790738143225 4000.0 4.0 -0.5 0.4
-53.2332503551 3.71134069507 1.14070835636 -0.0752889941453 -0.606085921527 -0.879798209989 -0.803412051511 4000.0 4.0 -0.5 0.5
-52.9854726676 3.7883550597 1.17358914442 -0.0681729961962 -0.615241586877 -0.899029338006 -0.828551226971 4000.0 4.0 -0.5 0.7
-52.8616882092 3.82687354324 1.19009613444 -0.0645241957749 -0.61972068156 -0.908542701435 -0.841017485246 4000.0 4.0 -0.5 0.8
-53.7566290723 3.35909369938 1.0385029423 -0.0930236645341 -0.576860276109 -0.820057580607 -0.730120382903 4000.0 4.0 -1.0 0.1
-53.632274273 3.39762396494 1.0546074949 -0.0899137641882 -0.581857747626 -0.830132011013 -0.743152887931 4000.0 4.0 -1.0 0.2
-53.3837833408 3.47474272183 1.08695856463 -0.0835026986572 -0.591645464766 -0.850066587903 -0.769001405335 4000.0 4.0 -1.0 0.4
-53.2596461718 3.51332863671 1.10320419782 -0.0802025500274 -0.59643674145 -0.859927768546 -0.781818450485 4000.0 4.0 -1.0 0.5
-53.1355805154 3.55193047675 1.11949598021 -0.0768399970055 -0.601160314319 -0.86971889534 -0.79456470165 4000.0 4.0 -1.0 0.6
-52.8876616999 3.62917645081 1.15221626242 -0.069929684637 -0.61040638081 -0.889093024053 -0.819846844898 4000.0 4.0 -1.0 0.8
-52.7638075267 3.66781775975 1.16864390223 -0.0663829184933 -0.61492988593 -0.898677036236 -0.832383746771 4000.0 4.0 -1.0 0.9
-53.8946632681 3.16517615116 0.989089643727 -0.0903212175463 -0.5650128879 -0.80367370221 -0.710250050634 4000.0 4.0 -1.5 0.0
-53.7701330937 3.20357239587 1.00507983679 -0.0873823510519 -0.570176095887 -0.813921686149 -0.723457567771 4000.0 4.0 -1.5 0.1
-53.2727570778 3.35740690356 1.06952682224 -0.0749737860998 -0.590122501056 -0.854183572804 -0.775550289347 4000.0 4.0 -1.5 0.5
-53.1485965717 3.39592199121 1.08575785203 -0.0717109967102 -0.594935159774 -0.864069200319 -0.788391786798 4000.0 4.0 -1.5 0.6
-53.0245084055 3.43445720334 1.10203569853 -0.0683849894092 -0.599679297272 -0.873883945501 -0.801161665927 4000.0 4.0 -1.5 0.7
-52.7765469951 3.51158286463 1.13473006321 -0.0615453780333 -0.60896409477 -0.89330288371 -0.826488641728 4000.0 4.0 -1.5 0.9
-53.8402335436 3.6387632733 1.10728405623 -0.0602669915033 -0.606607450193 -0.882586733929 -0.794525482677 4000.0 4.5 -0 0.0
