#Gaia_G_mag LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity a0
-49.0996911957 7.58660032232 4.04107790325 1.07099672151 -0.787167520632 -1.82133171157 -2.12825012965 2300.0 0.0 -4.0 0.5
-48.9824778965 7.5941425197 4.06071248219 1.07997641352 -0.78570059458 -1.82446937769 -2.1342146783 2300.0 0.0 -4.0 0.6
-48.8652875482 7.60141502164 4.08034705475 1.08897185182 -0.784213976288 -1.82758546681 -2.14015684465 2300.0 0.0 -4.0 0.7
-48.7481200122 7.60842489599 4.09998131034 1.09798290906 -0.782707801325 -1.83068011834 -2.14607676366 2300.0 0.0 -4.0 0.8
-48.6309751492 7.61517915094 4.11961492676 1.10700945527 -0.781182205307 -1.833753465 -2.1519745787 2300.0 0.0 -4.0 0.9
-48.1939197596 3.34437289814 3.66529296517 2.65344204578 -0.258341379376 -2.11127635924 -3.06633464226 2300.0 0.0 0.5 0.0
-48.0790814493 3.39106432897 3.69404117961 2.66423403241 -0.255221917635 -2.11242880327 -3.07011736078 2300.0 0.0 0.5 0.1
-47.9642667379 3.4377167541 3.72273736948 2.67504065993 -0.252082208348 -2.1135592017 -3.07387706255 2300.0 0.0 0.5 0.2
-47.8494751747 3.48432804456 3.75138053641 2.68586147421 -0.248922695136 -2.11466800763 -3.07761419506 2300.0 0.0 0.5 0.3
-47.7347063225 3.53089602359 3.77996968657 2.69669603884 -0.245743808904 -2.11575565654 -3.08132919882 2300.0 0.0 0.5 0.4
-47.619959756 3.57741844876 3.8085038274 2.70754392196 -0.242545973327 -2.11682256764 -3.08502249867 2300.0 0.0 0.5 0.5
-47.5052350641 3.62389299483 3.83698197199 2.7184047127 -0.239329591416 -2.11786915275 -3.08869450635 2300.0 0.0 0.5 0.6
-47.3905318457 3.67031730662 3.86540314012 2.72927800379 -0.23609505604 -2.11889581445 -3.09234561821 2300.0 0.0 0.5 0.7
-47.2758497141 3.71668891505 3.89376635052 2.74016341082 -0.232842750358 -2.11990293761 -3.09597622394 2300.0 0.0 0.5 0.8
-47.1611882912 3.76300529812 3.92207061722 2.75106054293 -0.229573046752 -2.12089089476 -3.09958670151 2300.0 0.0 0.5 0.9
-48.1364409717 4.91979224649 3.9382606042 2.20544082628 -0.50053817142 -2.05018325241 -2.8131603636 2300.0 0.0 1.0 0.0
-48.0210687619 4.96272093726 3.96255045116 2.21592563572 -0.49773027025 -2.05172887573 -2.81742509785 2300.0 0.0 1.0 0.1
-47.9057158938 5.00549941429 3.98680470681 2.22642145683 -0.494906318876 -2.05325669025 -2.82167106652 2300.0 0.0 1.0 0.2
-47.7903821479 5.04812208538 4.01102293251 2.23692807086 -0.492066534066 -2.05476691327 -2.82589849059 2300.0 0.0 1.0 0.3
-47.6750673056 5.09058321158 4.03520467574 2.24744526854 -0.489211123744 -2.05625975974 -2.83010759083 2300.0 0.0 1.0 0.4
-47.5597711582 5.13287689596 4.0593494864 2.25797284776 -0.486340300253 -2.05773544052 -2.83429856938 2300.0 0.0 1.0 0.5
-47.4444934998 5.17499709623 4.08345690805 2.26851060817 -0.483454260865 -2.0591941616 -2.83847163955 2300.0 0.0 1.0 0.6
-47.3292341241 5.21693761166 4.10752647792 2.27905834714 -0.480553205272 -2.06063612336 -2.84262699916 2300.0 0.0 1.0 0.7
-47.2139928367 5.25869208716 4.13155773286 2.28961588102 -0.477637326557 -2.06206152271 -2.84676484943 2300.0 0.0 1.0 0.8
-47.098769444 5.30025403399 4.15555019903 2.30018301446 -0.474706813364 -2.06347055497 -2.8508853777 2300.0 0.0 1.0 0.9
-48.4521479491 3.85039585623 3.6958625945 2.91537537537 -0.245224174314 -2.14047510882 -3.05365907166 2300.0 0.5 -0.0 0.0
-48.3374604138 3.89606416736 3.72445142288 2.92623859165 -0.2421185059 -2.14146641621 -3.05727365542 2300.0 0.5 -0.0 0.1
-48.2227938909 3.94166929395 3.75298794277 2.93711329198 -0.238994997682 -2.14243827094 -3.06086780038 2300.0 0.5 -0.0 0.2
-48.1081479972 3.98720834317 3.78147122876 2.9479990865 -0.235854027275 -2.1433910582 -3.06444189025 2300.0 0.5 -0.0 0.3
-47.9935223595 4.03267832008 3.80990036487 2.95889559523 -0.232695965871 -2.1443251509 -3.06799629726 2300.0 0.5 -0.0 0.4
-47.8789166118 4.07807613265 3.83827442426 2.96980244099 -0.229521171776 -2.14524090711 -3.07153138925 2300.0 0.5 -0.0 0.5
-47.7643304016 4.12339860261 3.86659249016 2.98071926764 -0.226329987146 -2.14613868491 -3.07504751426 2300.0 0.5 -0.0 0.6
-47.6497633875 4.16864244945 3.89485364163 2.99164572181 -0.223122753231 -2.14701882112 -3.07854501772 2300.0 0.5 -0.0 0.7
-47.535215235 4.21380428286 3.92305695921 3.00258146212 -0.21989979757 -2.14788164774 -3.08202423141 2300.0 0.5 -0.0 0.8
-47.4206856222 4.25888061075 3.95120151997 3.0135261565 -0.216661432921 -2.14872749165 -3.0854854766 2300.0 0.5 -0.0 0.9
-48.7614178665 4.06264120034 3.6642905095 3.2580583826 -0.358220668563 -2.15570067483 -2.93918481432 2300.0 0.5 -0.5 0.0
-48.6466096328 4.10774521288 3.69284859247 3.26871412972 -0.355270769242 -2.15675633263 -2.94290410537 2300.0 0.5 -0.5 0.1
-48.5318214388 4.15277465516 3.72135704909 3.27937953544 -0.352303677448 -2.15779347521 -2.9466039293 2300.0 0.5 -0.5 0.2
-48.4170529208 4.1977262741 3.74981501907 3.29005422376 -0.349319749981 -2.1588124661 -2.9502846519 2300.0 0.5 -0.5 0.3
